//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	100	100	1	508	100	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Reset Fruit Strength
31	101	101	1	508	100	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Reset Fruit Quickness
31	102	102	1	508	100	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Reset Fruit Health
31	103	103	1	508	100	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// Reset Fruit Energy
31	105	105	1	508	500	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Summoner Character Card
31	106	106	1	508	500	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// RageFighter Character Card
31	110	110	1	508	200	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Vault Expansion Certificate
31	111	111	1	508	100	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Magic Backpack
31	119	119	1	508	100	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Reset Fruit Control
32	116	116	1	508	20	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Devil Square Ticket
32	117	117	1	508	20	0	1170	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	// Blood Castle Ticket
33	122	122	1	508	15	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Demon
33	123	123	1	508	15	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Spirit of Guardian
34	124	124	1	508	10	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Wizards Ring
