//-----------------------------
// Ltp-Team.Ru
//-----------------------------
// Configured: 1ud3x
//-----------------------------
// Skype: iudex2015
//-----------------------------
// Period: 11.04.2017
//-----------------------------
0
//====================================================================
//	WarningTime		NotifyTime	EventTime	CloseTime
//====================================================================
	5               1            15          4        
end

1
//====================================================================
//	Year	Month   Day		DoW				Hour		Minute		Second
//====================================================================
	*		*		*		*		2		0		0
	*		*		*		*		5		0		0
	*		*		*		*		8		0		0
	*		*		*		*		11		0		0
	*		*		*		*		14		0		0
	*		*		*		*		17		0		0
	*		*		*		*		19		55		0
	*		*		*		*		20		48		0
	*		*		*		*		23		0		0
end

2
//====================================================================
//
//====================================================================
	0		15		130		10		110
	1		131		180		111		160
	2		181		230		161		210
	3		231		280		211		260
	4		281		330		261		310
	5		331		399		311		399
end

3
//=====================================================================================================================================
//	Lvl	RewardExp1	RewardExp2	RewardExp3	RewardExp4	RewardExp5	RewardExp6	RewardExp7	RewardExp8	RewardExp9	RewardExp10
//=====================================================================================================================================
	0	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
	1	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
	2	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
	3	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
	4	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
	5	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
	6	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
end

4
//=====================================================================================================================================
//	Lvl	RewardMoney1	RewMoney2   RewMoney3   RewMoney4   RewMoney5   RewMoney6   RewMoney7   RewMoney8   RewMoney9   RewMoney10
//=====================================================================================================================================
	0	50000000			50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000		50000000
	1	100000000			100000000		100000000		100000000		100000000		100000000		100000000		100000000		100000000		100000000
	2	150000000			150000000		150000000		150000000		150000000		150000000		150000000		150000000		150000000		150000000
	3	200000000			200000000		200000000		200000000		200000000		200000000		200000000		200000000		200000000		200000000
	4	250000000			250000000		250000000		250000000		250000000		250000000		250000000		250000000		250000000		250000000
	5	300000000			300000000		300000000		300000000		300000000		300000000		300000000		300000000		300000000		300000000
	6	400000000			400000000		400000000		400000000		400000000		400000000		400000000		400000000		400000000		400000000
end

5
//=====================================================================================================================================
//	Lvl	RewardML1	RewML2	RewML3	RewML4	RewML5	RewML6	RewML7	RewML8	RewML9	RewML10
//=====================================================================================================================================
	0	10		10	10	0	0	0	0	0	0	0
	1	10		10	10	0	0	0	0	0	0	0
	2	10		10	10	0	0	0	0	0	0	0
	3	10		10	10	0	0	0	0	0	0	0
	4	10		10	10	0	0	0	0	0	0	0
	5	10		10	10	0	0	0	0	0	0	0
	6	10		10	10	0	0	0	0	0	0	0
end
