0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     6     22     56       0
0         *      *       *     6     22     56       0
1         *      *       *     *     01     30       0
1         *      *       *     *     02     07       0
1         *      *       *     *     05     30       0
1         *      *       *     *     09     30       0
1         *      *       *     *     13     30       0
1         *      *       *     *     17     30       0
1         *      *       *     *     21     30       0
2         *      *       *     *     00     12       0
2         *      *       *     *     01     49       0
2         *      *       *     *     03     00       0
2         *      *       *     *     06     00       0
2         *      *       *     *     09     23       0
2         *      *       *     *     12     00       0
2         *      *       *     *     16     23       0
2         *      *       *     *     17     00       0
2         *      *       *     *     18     00       0
2         *      *       *     *     21     00       0
2         *      *       *     *     23     00       0
3         *      *       *     *     02     15       0
3         *      *       *     *     9      16       0
3         *      *       *     *     9      25       0
3         *      *       *     *     14     15       0
3         *      *       *     *     16     29       0
3         *      *       *     *     22     15       0
4         *      *       *     *     2      5        0
4         *      *       *     *     6      5        0
4         *      *       *     *     10     5        0
4         *      *       *     *     14     5        0
4         *      *       *     *     18     5        0
4         *      *       *     *     22     5        0
5         *      *       *     *     08     05       0
5         *      *       *     *     12     05       0
5         *      *       *     *     16     05       0
5         *      *       *     *     20     05       0
5         *      *       *     *     23     05       0
6         *      *       *     *     04     05       0
6         *      *       *     *     18     55       0
6         *      *       *     *     22     55       0
8         *      *       *     *     20     15       0
end

1
//Index   ShowMapName   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime   InvasionName
0         1             192              *                55          202           1200           "Skeleton King"
1         1             193              *                42          203           1800           "Red Dragon"
2         1             194              *                501         204           500            "Golden"
3         1             195              *                135         205           1800           "White Wizard"
4         1             196              *                *           *             600            "New Year"
5         1             197              *                *           *             1200           "Rabbits"
6         1             198              *                *           *             1200           "Summer"
7         1             199              *                476         206           600            "Christmas"
8         1             200              *                561         207           600            "Medusa"
end
2
//Index   Group   Map   Value
0         0       0     0
1         0       0     0
1         0       2     0
1         0       3     0
2         0       0     0
2         1       2     0
2         2       2     0
2         3       3     0
2         4       0     0
2         4       2     0
2         4       3     0
2         4       51    0
2         5       7     0
2         6       7     0
2         7       8     0
2         8       8     0
2         9       1     0
2         10      4     0
2         11      33    0
2         12      10    0
2         13      37    0
2         14      38    0
2         15      57    0
2         16      56    0
2         17      37    0
2         17      57    0
2         18      51    0
3         0       0     0
3         0       2     0
3         0       3     0
4         0       4     0
4         0       7     0
4         0       8     0
4         0       33    0
4         0       37    0
4         0       57    0
5         0       4     0
5         0       7     0
5         0       8     0
5         0       33    0
5         0       37    0
5         0       57    0
6         0       4     0
6         0       7     0
6         0       8     0
6         0       33    0
6         0       37    0
6         0       57    0
7         0       0     0
7         0       2     0
7         0       3     0
8         0       56    0
8         0       56    1
8         0       56    2
8         0       56    3
end

3
//Index   Group   MonsterClass   RegenType   RegenTime
0         0       55             0           0
0         0       56             0           0
1         0       42             0           0
2         0       43             0           0
2         1       53             0           0
2         2       54             0           0
2         3       78             0           0
2         4       79             0           0
2         5       80             0           0
2         6       81             0           0
2         7       82             0           0
2         8       83             0           0
2         9       493            0           0
2         10      494            0           0
2         11      495            0           0
2         12      496            0           0
2         13      497            0           0
2         14      498            0           0
2         15      499            0           0
2         16      500            0           0
2         17      501            0           0
2         18      502            0           0
3         0       135            0           0
3         0       136            0           0
3         0       137            0           0
4         0       365            0           0
5         0       413            0           0
6         0       463            0           0
7         0       466            0           0
7         0       476            0           0
8         0       560            0           0
8         0       561            0           0
end
