0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Luck"	         1000	   100		  1		  0		    0		   0
end


2
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption   SocketOption   
0           26     3          5          1       1      1        0           0           1
0           27     3          5          1       1      1        0           0           1
0           28     3          5          1       1      1        0           0           1
2           16     3          5          1       1      1        0           0           1
2           17     3          5          1       1      1        0           0           1
4           23     3          5          1       1      1        0           0           1
5           30     3          5          0       1      1        0           0           1
5           31     3          5          0       1      1        0           0           1
5           32     3          5          0       1      1        0           0           1
6           17     3          5          1       1      1        0           0           1
6           18     3          5          1       1      1        0           0           1
6           19     3          5          1       1      1        0           0           1
6           20     3          5          1       1      1        0           0           1
7           45     3          5          0       1      1        0           0           1
7           46     3          5          0       1      1        0           0           1
7           49     3          5          0       1      1        0           0           1
7           50     3          5          0       1      1        0           0           1
7           51     3          5          0       1      1        0           0           1
7           52     3          5          0       1      1        0           0           1
7           53     3          5          0       1      1        0           0           1
8           45     3          5          0       1      1        0           0           1
8           46     3          5          0       1      1        0           0           1
8           47     3          5          0       1      1        0           0           1
8           48     3          5          0       1      1        0           0           1
8           49     3          5          0       1      1        0           0           1
8           50     3          5          0       1      1        0           0           1
8           51     3          5          0       1      1        0           0           1
8           52     3          5          0       1      1        0           0           1
8           53     3          5          0       1      1        0           0           1
9           45     3          5          0       1      1        0           0           1
9           46     3          5          0       1      1        0           0           1
9           47     3          5          0       1      1        0           0           1
9           48     3          5          0       1      1        0           0           1
9           49     3          5          0       1      1        0           0           1
9           50     3          5          0       1      1        0           0           1
9           51     3          5          0       1      1        0           0           1
9           52     3          5          0       1      1        0           0           1
9           53     3          5          0       1      1        0           0           1
10          45     3          5          0       1      1        0           0           1
10          46     3          5          0       1      1        0           0           1
10          47     3          5          0       1      1        0           0           1
10          48     3          5          0       1      1        0           0           1
10          49     3          5          0       1      1        0           0           1
10          50     3          5          0       1      1        0           0           1
10          51     3          5          0       1      1        0           0           1
10          52     3          5          0       1      1        0           0           1
10          53     3          5          0       1      1        0           0           1
11          45     3          5          0       1      1        0           0           1
11          46     3          5          0       1      1        0           0           1
11          47     3          5          0       1      1        0           0           1
11          48     3          5          0       1      1        0           0           1
11          49     3          5          0       1      1        0           0           1
11          50     3          5          0       1      1        0           0           1
11          51     3          5          0       1      1        0           0           1
11          52     3          5          0       1      1        0           0           1
11          53     3          5          0       1      1        0           0           1
12          71     0          0          0       0      0        0           0           1
12          72     0          0          0       0      0        0           0           1
end
