0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks
"Kundun"                 10000      100             100               100000                 0              0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
//Dragon Knight
7           29      0          0          0       1      0        1      
7           29      0          0          0       1      0        2
8           29      0          0          0       1      0        1
8           29      0          0          0       1      0        2
9           29      0          0          0       1      0        1
9           29      0          0          0       1      0        2
10           29      0          0          0       1      0        1
10           29      0          0          0       1      0        2
11           29      0          0          0       1      0        1
11           29      0          0          0       1      0        2
//Venom Mist
7           30      0          0          0       1      0        1      //VM Set
7           30      0          0          0       1      0        2
8           30      0          0          0       1      0        1
8           30      0          0          0       1      0        2
9           30      0          0          0       1      0        1
9           30      0          0          0       1      0        2
10           30      0          0          0       1      0        1
10           30      0          0          0       1      0        2
11           30      0          0          0       1      0        1
11           30      0          0          0       1      0        2
//Sylphid Ray
7           31      0          0          0       1      0        1      
7           31      0          0          0       1      0        2
8           31      0          0          0       1      0        1
8           31      0          0          0       1      0        2
9           31      0          0          0       1      0        1
9           31      0          0          0       1      0        2
10           31      0          0          0       1      0        1
10           31      0          0          0       1      0        2
11           31      0          0          0       1      0        1
11           31      0          0          0       1      0        2
//Volcano
8           32      0          0          0       1      0        1
8           32      0          0          0       1      0        2
9           32      0          0          0       1      0        1
9           32      0          0          0       1      0        2
10           32      0          0          0       1      0        1
10           32      0          0          0       1      0        2
11           32      0          0          0       1      0        1
11           32      0          0          0       1      0        2
//Sunlight
7           33      0          0          0       1      0        1      
7           33      0          0          0       1      0        2
8           33      0          0          0       1      0        1
8           33      0          0          0       1      0        2
9           33      0          0          0       1      0        1
9           33      0          0          0       1      0        2
10           33      0          0          0       1      0        1
10           33      0          0          0       1      0        2
11           33      0          0          0       1      0        1
11           33      0          0          0       1      0        2
//Storm Blitz
7           43      0          0          0       1      0        1      
7           43      0          0          0       1      0        2
8           43      0          0          0       1      0        1
8           43      0          0          0       1      0        2
9           43      0          0          0       1      0        1
9           43      0          0          0       1      0        2
10           43      0          0          0       1      0        1
10           43      0          0          0       1      0        2
11           43      0          0          0       1      0        1
11           43      0          0          0       1      0        2
//Phoenix Soul
7           73      0          0          0       1      0        1     
7           73      0          0          0       1      0        2
8           73      0          0          0       1      0        1
8           73      0          0          0       1      0        2
9           73      0          0          0       1      0        1
9           73      0          0          0       1      0        2
0           35      0          0          1       1      0        1
0           35      0          0          1       1      0        2
11           73      0          0          0       1      0        1
11           73      0          0          0       1      0        2
//Sword
0           22      0          0          1       1      0        1   // Bone Blade
0           22      0          0          1       1      0        2
0           23      0          0          1       1      0        1   // Explo blade
0           23      0          0          1       1      0        2
2           14      0          0          1       1      0        1   // Solay Scept
2           14      0          0          1       1      0        2
4           21      0          0          1       1      0        1   //sylph Bow
4           21      0          0          1       1      0        2
5           12      0          0          1       1      0        1   // GV staff
5           12      0          0          1       1      0        2
5           19      0          0          1       1      0        1   // Storm blitz stick
5           19      0          0          1       1      0        2
//bezlucka
7           29      0          0          0       0      0        1      //DK Set
7           29      0          0          0       0      0        2
8           29      0          0          0       0      0        1
8           29      0          0          0       0      0        2
9           29      0          0          0       0      0        1
9           29      0          0          0       0      0        2
10           29      0          0          0       0      0        1
10           29      0          0          0       0      0        2
11           29      0          0          0       0      0        1
11           29      0          0          0       0      0        2
