//Index   Name                    RequireMoney   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel   Gate
1         "Arena"                 100000         200        400        *          *          0              50
2         "Lorencia"              500            10         400        *          *          0              17
3         "Noria"                 500            10         400        *          *          0              27
31        "Elbeland"              1000           10         400        *          *          0              267
32        "Elbeland2"             10000          20         400        *          *          0              268
43        "Elbeland3"             20000          30         400        *          *          0              269
4         "Devias"                30000          30         400        *          *          0              22
5         "Devias2"               40000          40         400        *          *          0              72
6         "Devias3"               50000          50         400        *          *          0              73
7         "Devias4"               6000           20         400        *          *          0              74
8         "Dungeon"               60000          40         400        *          *          0              2
9         "Dungeon2"              70000          50         400        *          *          0              6
10        "Dungeon3"              80000          60         400        *          *          0              10
11        "Atlans"                90000          70         400        *          *          0              49
12        "Atlans2"               100000         80         400        *          *          0              75
13        "Atlans3"               110000         90         400        *          *          0              76
14        "LostTower"             120000         60         400        *          *          0              42
15        "LostTower2"            130000         65         400        *          *          0              31
16        "LostTower3"            140000         70         400        *          *          0              33
17        "LostTower4"            150000         75         400        *          *          0              35
18        "LostTower5"            160000         80         400        *          *          0              37
19        "LostTower6"            170000         85         400        *          *          0              39
20        "LostTower7"            180000         90         400        *          *          0              41
21        "Tarkan"                190000         140        400        *          *          0              57
22        "Tarkan2"               200000         150        400        *          *          0              77
25        "Aida1"                 210000         160        400        *          *          0              119
27        "Aida2"                 220000         170        400        *          *          0              140
23        "Icarus"                230000         180        400        *          *          0              63
26        "Crywolf"               300000         210        400        *          *          0              118
28        "Kanturu_ruin1"         240000         200        400        *          *          0              138
29        "Kanturu_ruin2"         250000         220        400        *          *          0              141
45        "Kanturu_ruin_island"   260000         240        400        *          *          0              334
30        "Kanturu_Remain"        270000         250        400        *          *          0              139
46        "Karutan1"              280000         190        400        *          *          0              335
47        "Karutan2"              290000         200        400        *          *          0              344
34        "Raklion"               310000         250        400        *          *          0              287
33        "Swamp_of_Calmness"     320000         250        400        *          *          0              273
42        "Vulcanus"              330000         250        400        *          *          0              294
24        "LorenDeep"             0              10         400        *          *          0              104
48        "Silent"                1000000        100        400        *          *          0              350
end
