//Section   Type   Level   Dur   Skill   Luck   Option   Excellent   Ancient   OptionEx
7           39     0       0     0       0      0        0           0         0
8           39     0       0     0       0      0        0           0         0
9           39     0       0     0       0      0        0           0         0
10          39     0       0     0       0      0        0           0         0
11          39     0       0     0       0      0        0           0         0
7           40     0       0     0       0      0        0           0         0
8           40     0       0     0       0      0        0           0         0
9           40     0       0     0       0      0        0           0         0
10          40     0       0     0       0      0        0           0         0
11          40     0       0     0       0      0        0           0         0
5           14     0       0     0       0      0        0           0         0
5           15     0       0     0       0      0        0           0         0
5           16     0       0     0       0      0        0           0         0
end
