// ****************************
// Ltp-Team.com		     **
// ****************************
// Configured: Creative	     **
// ****************************
// Skype: letstoplay.support **
// ****************************
// Period: 01.07.2020        **
// ****************************

0
//=============================================================================================================================================================
//AllowAncExc	MaxLvl	MaxExcOpt	LvlPrice	LuckPrice	AddPrice	Opt1Price	Opt2Price	Opt3Price	Opt4Price	Opt5Price	Opt6Price	AncPrice	SocketPrice
//=============================================================================================================================================================
1               15	     6		      10			350			10			525			350			1400	   875			1750		840			16000		16000
end

1
//=================================================
//Type	Index	Price	Comments
//=================================================
7        2		735		//Pad Helm
7        4		1735	//Bone Helm
7        7		7735	//Sphinx Helm
7        3		12735	//Legendary Helm
7        18		19735	//Grand Soul Helm
7        22		29735	//Dark Soul Helm
7        30		41735	//Venom Mist Helm
7        35		53735	//Eclipse Helm
7        52		63735	//Hades Helm
//=================================================
//Armor
//=================================================
//Type	 Index	 Price	Comments
//=================================================
8        2		735		//Pad Armor
8        4		1735	//Bone Armor
8        7		7735	//Sphinx Armor
8        3		12735	//Legendary Armor
8        18		19735	//Grand Soul Armor
8        22		29735	//Dark Soul Armor
8        30		41735	//Venom Mist Armor
8        35		53735	//Eclipse Armor
8        52		63735	//Hades Armor
//=================================================
//Pants
//=================================================
//Type	 Index	Price	Comments
//=================================================
9        2		735		//Pad Pants
9        4		1735	//Bone Pants
9        7		7735	//Sphinx Pants
9        3		12735	//Legendary Pants
9        18		19735	//Grand Soul Pants
9        22		29735	//Dark Soul Pants
9        30		41735	//Venom Mist Pants
9        35		53735	//Eclipse Pants
9        52		63735	//Hades Pants
//=================================================
//Gloves
//=================================================
//Type	 Index	Price	Comments
//=================================================
10       2		735		//Sphinx Gloves
10       4		1735	//Bone Gloves
10       7		7735	//Sphinx Gloves
10       3		12735	//Legendary Gloves
10       18		19735	//Grand Soul Gloves
10       22		29735	//Dark Soul Gloves
10       30		41735	//Venom Mist Gloves
10       35		53735	//Eclipse Gloves
10       52		63735	//Hades Gloves
//=================================================
//Boots
//=================================================
//Type	 Index	Price	Comments
//=================================================
11       2		735		//Pad Boots
11       4		1735	//Bone Boots
11       7		7735	//Sphinx Boots
11       3		12735	//Legendary Boots
11       18		19735	//Grand Soul Boots
11       22		29735	//Dark Soul Boots
11       30		41735	//Venom Mist Boots
11       35		53735	//Eclipse Boots
11       52		63735	//Hades Boots
//=================================================
//Shields
//=================================================
//Type	Index	Price	Comments
//=================================================
6       6       490		//Skull Shield
6       14      1240	//Legendary Shield
6       15      1740	//Grand Soul Shield
6       20      2240	//Guardian Shield
6       101		2990	//Dark Devil Shield
//=================================================
//Weapons
//=================================================
//Type	Index	Price	Comments
//=================================================
5		0		1740 	//Divine Staff of Archangel
5		1		2240	//Dragon Soul Staff
5		2		2740	//Platina Staff
5		3		3090	//Staff of Kundun
5		4		3490	//Grand Viper Staff
5		5		3490	//Chromatic Staff
5		6		3990 	//Inberial Staff
5		7		4240	//Mirace Staff
5		8		4240	//Spite Staff
5		9		4740	//Blood Angels Staff
5		10		4740	//Dark Angels Staff
5		11		4990	//Holy Angels Staff
5		12		5240	//Awakening Staff
//=================================================
//Wings
//=================================================
//Type	Index	Price	Comments
//=================================================
12      4       5000	//Wings of Soul
12      201		7500	//Wings of Magic
12      37      8750	//Wing of Eternal
12      205     9240	//Heavenly Wings
//=================================================
//Ring and Pend
//=================================================
//Type	Index	Price	Comments
//=================================================
13      8		2990	//Ring of Ice
13      9		2990	//Ring of Poison
13      21		2990	//Ring of Fire
13      22		2990	//Ring of Earth
13      23		2990	//Ring of Wind
13      24		2990	//Ring of Magic
13      25		2990	//Pendant of Ice
13      26		2990	//Pendant of Wind
13      27		2990	//Pendant of Water
13      28		2990	//Pendant of Ability
13      12		2990	//Pendant of Lighting
13      13		2990	//Pendant of Fire
end

2
//=================================================
//Type	Index	Price	Comments
//=================================================
//**********************************************************************************************
//Item to Dark Knight
//**********************************************************************************************
//Helm
//=================================================
//Type	Index	Price	Comments
//=================================================
7		5       735		//Leather Helm
7		0       3735	//Bronze Helm
7		6       5735	//Scale Helm
7		8       6735	//Brass Helm
7		9       7735	//Plate Helm
7		1       12735	//Dragon Helm
7		16      15735	//Black Dragon Helm
7		17      19735	//Dark Phoenix Helm
7		21      29735	//Great Dragon Helm
7		29      41735	//Dragon Knight Helm
7		34      53735	//Ashcrow Helm
7		45      63735	//Titan Helm
7		46      63735	//Brave Helm
//=================================================
//Armor
//=================================================
//Type	Index	Price	Comments
//=================================================
8		5       735		//Leather Armor
8		0       3735	//Bronze Armor
8		6       5735	//Scale Armor
8		8       6735	//Brass Armor
8		9       7735	//Plate Armor
8		1       12735	//Dragon Armor
8		16      15735	//Black Dragon Armor
8		17      19735	//Dark Phoenix Armor
8		21      29735	//Great Dragon Armor
8		29      41735	//Dragon Knight Armor
8		34      53735	//Ashcrow Armor
8		45      63735	//Titan Armor
8		46      63735	//Brave Armor
//=================================================
//Pants
//=================================================
//Type	Index	Price	Comments
//=================================================
9		5       735		//Leather Pants
9		0       3735	//Bronze Pants
9		6       5735	//Scale Pants
9		8       6735	//Brass Pants
9		9       7735	//Plate Pants
9		1       12735	//Dragon Pants
9		16      15735	//Black Dragon Pants
9		17      19735	//Dark Phoenix Pants
9		21      29735	//Great Dragon Pants
9		29      41735	//Dragon Knight Pants
9		34      53735	//Ashcrow Pants
9		45      63735	//Titan Pants
9		46      63735	//Brave Pants
//=================================================
//Gloves
//=================================================
//Type	Index	Price	Comments
