//
// Type: ZEN = 0, CREDITS = 1, WCOINC = 2, WCOINP = 3, WCOING = 4
//Index   Level   Grade   Ancient   OptionEx   Type   BuyPrice      SellPrice         Comment
7382      0       *       *         *          0      100000000     100000000         //Silver Coin
7383      0       *       *         *          0      500000000     500000000         //Golden Coin
7384      0       *       *         *          0      1000000000    1000000000        //Platinum Coin
2055      0       *       *         *          0      100           *                 //Bolt
2055      1       *       *         *          0      1400          *                 //Bolt
2055      2       *       *         *          0      2200          *                 //Bolt
2055      3       *       *         *          0      3000          *                 //Bolt
2063      0       *       *         *          0      70            *                 //Arrow
2063      1       *       *         *          0      1200          *                 //Arrow
2063      2       *       *         *          0      2000          *                 //Arrow
2063      3       *       *         *          0      2800          *                 //Arrow
6159      *       *       *         *          0      810000        300000            //Jewel of Chaos
6170      0       *       *         *          0      60000         *                 //Gem of Secret
6174      0       *       *         *          0      90000000      30000000          //Bundle of Jewel of Bless 1
6174      1       *       *         *          0      180000000     60000000          //Bundle of Jewel of Bless 2
6174      2       *       *         *          0      270000000     90000000          //Bundle of Jewel of Bless 3
6175      0       *       *         *          0      60000000      20000000          //Bundle of Jewel of Soul 1
6175      1       *       *         *          0      120000000     40000000          //Bundle of Jewel of Soul 2
6175      0       *       *         *          0      180000000     60000000          //Bundle of Jewel of Soul 3
6274      *       *       *         *          0      240           *                 //Small Cape of Lord
6275      *       *       *         *          0      240           *                 //Small Wing of Curse
6276      *       *       *         *          0      240           *                 //Small Wings of Elf
6277      *       *       *         *          0      240           *                 //Small Wings of Heaven
6278      *       *       *         *          0      240           *                 //Small Wings of Satan
6279      *       *       *         *          0      240           *                 //Little Warrior's Cloak
6280      0       *       *         *          0      450000000     100000000         //Jewel of Life Bundle 1
6280      1       *       *         *          0      900000000     200000000         //Jewel of Life Bundle 2
6280      2       *       *         *          0      1350000000    300000000         //Jewel of Life Bundle 3
6281      0       *       *         *          0      360000000     80000000          //Jewel of Creation Bundle 1
6281      1       *       *         *          0      720000000     160000000         //Jewel of Creation Bundle 2
6281      2       *       *         *          0      1080000000    240000000         //Jewel of Creation Bundle 3
6282      0       *       *         *          0      600000000     1000000           //Jewel of Guardian Bundle 1
6282      1       *       *         *          0      1200000000    2000000           //Jewel of Guardian Bundle 2
6282      2       *       *         *          0      1800000000    3000000           //Jewel of Guardian Bundle 3
6285      0       *       *         *          0      8100000       3000000           //Jewel of Chaos Bundle 1
6285      1       *       *         *          0      16200000      6000000           //Jewel of Chaos Bundle 2
6285      2       *       *         *          0      24300000      9000000           //Jewel of Chaos Bundle 3
6288      *       *       *         *          0      300000        *                 //Mithril Fragment
6290      *       *       *         *          0      300000        *                 //Elixir Fragment
6410      *       *       *         *          0      300000000     *                 //Wings of Conqueror
6411      *       *       *         *          0      3000000       *                 //Wings of Angel and Devil
6659      *       0       *         *          0      960000        *                 //Horn of Dinorant
6659      *       1       *         *          0      1260000       *                 //Horn of Dinorant
6659      *       2       *         *          0      1260000       *                 //Horn of Dinorant
6659      *       4       *         *          0      1260000       *                 //Horn of Dinorant
6659      *       3       *         *          0      1560000       *                 //Horn of Dinorant
6659      *       5       *         *          0      1560000       *                 //Horn of Dinorant
6659      *       6       *         *          0      1560000       *                 //Horn of Dinorant
6663      0       *       *         *          0      1500000       *                 //Contract (Summon)
6663      1       *       *         *          0      1200000       *                 //Contract (Summon)
6667      1       *       *         *          0      2400000       *                 //Order (Guardian/Life Stone)
6670      0       *       *         *          0      180000        *                 //Loch's Feather
6670      1       *       *         *          0      7500000       *                 //Crest of Monarch
6671      *       *       *         *          0      33000000      *                 //Fruits
6672      1       *       *         *          0      1000000       100000            //Scroll of Archangel 1
6672      2       *       *         *          0      1500000       110000            //Scroll of Archangel 2
6672      3       *       *         *          0      2000000       120000            //Scroll of Archangel 3
6672      4       *       *         *          0      2500000       130000            //Scroll of Archangel 4
6672      5       *       *         *          0      3000000       140000            //Scroll of Archangel 5
6672      6       *       *         *          0      3500000       150000            //Scroll of Archangel 6
6672      7       *       *         *          0      4000000       160000            //Scroll of Archangel 7
6672      8       *       *         *          0      4500000       170000            //Scroll of Archangel 8
6673      1       *       *         *          0      1000000       100000            //Blood Bone 1
6673      2       *       *         *          0      1500000       110000            //Blood Bone 2
6673      3       *       *         *          0      2000000       120000            //Blood Bone 3
6673      4       *       *         *          0      2500000       130000            //Blood Bone 4
6673      5       *       *         *          0      3000000       140000            //Blood Bone 5
6673      6       *       *         *          0      3500000       150000            //Blood Bone 6
6673      7       *       *         *          0      4000000       160000            //Blood Bone 7
6673      8       *       *         *          0      4500000       170000            //Blood Bone 8
6674      1       *       *         *          0      150000        *                 //Invisibility Cloak 1
6674      2       *       *         *          0      660000        *                 //Invisibility Cloak 2
6674      3       *       *         *          0      720000        *                 //Invisibility Cloak 3
6674      4       *       *         *          0      780000        *                 //Invisibility Cloak 4
6674      5       *       *         *          0      840000        *                 //Invisibility Cloak 5
6674      6       *       *         *          0      900000        *                 //Invisibility Cloak 6
6674      7       *       *         *          0      960000        *                 //Invisibility Cloak 7
6674      8       *       *         *          0      1020000       *                 //Invisibility Cloak 8
6676      0       *       *         *          0      30000         *                 //Wizards Ring
6685      *       *       *         *          0      5000          *                 //Armor of Guardsman
6687      0       *       *         *          0      30000000      2500000          //Spirit
6687      1       *       *         *          0      15000000      1000000           //Spirit
6688      *       *       *         *          0      150           *                 //Splinter of Armor
6689      *       *       *         *          0      300           *                 //Bless of Guardian
6690      *       *       *         *          0      3000          *                 //Claw of Beast
6691      *       *       *         *          0      30000         *                 //Fragment of Horn
6692      *       *       *         *          0      90000         *                 //Broken Horn
6693      *       *       *         *          0      150000        *                 //Horn of Fenrir
6694      *       *       *         *          0      9300          *                 //Moonstone Pendant
6705      1       *       *         *          0      500000        *                 //Old Scroll 1
6705      2       *       *         *          0      600000        *                 //Old Scroll 2
6705      3       *       *         *          0      800000        *                 //Old Scroll 3
6705      4       *       *         *          0      1000000       *                 //Old Scroll 4
6705      5       *       *         *          0      1200000       *                 //Old Scroll 5
6705      6       *       *         *          0      1400000       *                 //Old Scroll 6
6706      1       *       *         *          0      500000        *                 //Illusion Sorcerer Covenant 1
6706      2       *       *         *          0      600000        *                 //Illusion Sorcerer Covenant 2
6706      3       *       *         *          0      800000        *                 //Illusion Sorcerer Covenant 3
